IDNum,frag,dmg,spot,def,win
17169,1.48,329.68,1.34,1.09,58.37
17425,1.16,446.59,1.37,1,56.09
17665,1.01,1536.57,1.53,0.86,53.2
17937,1.39,481.41,0.81,1.19,56.59
17953,0.85,895.31,2.58,0.86,53.51
18177,0.69,921.96,2.34,0.64,52.15
18193,1.25,588.15,1.38,0.96,56.09
18209,0.66,959.82,1.92,0.65,51.65
18433,0.79,814.44,2.81,0.82,54.45
18449,0.71,939.57,2.4,0.74,51.86
18689,1.44,740.71,1.41,1.14,58.98
18961,0.66,706.52,2.57,0.63,52.18
51201,1.49,700.31,1.41,1.39,60.58
51457,1.35,576.33,1.17,1.45,57.7
51473,0.66,454.44,1.63,0.62,49.62
51489,1.17,203.13,2.6,1.05,57.48
51553,1.05,547.37,1.07,1.16,53.86
51713,1.27,613.35,1.19,1.29,55.15
51729,1.96,376.03,1.95,2.07,68.35
51745,1.19,552.05,1.44,1.23,57.31
51809,1.34,328.99,1.79,1.47,59.65
51985,1.69,389.57,1.53,1.67,60.97
52001,1.08,254.04,2.57,1.24,57.36
52065,0.86,1122.5,1.56,1,51.69
52225,1.73,364.31,2.35,1.38,60.63
52241,1.78,518.14,1.66,1.78,60.91
52257,1.04,465.49,1.58,0.97,54.73
52321,1.07,793.72,1.24,1.05,54.4
52481,1.46,411.07,1.54,1.6,56.98
52497,2.08,342.65,1.89,2.6,57.17
52513,0.84,1144.68,1.17,0.84,47.75
52561,1.07,1802.9,0.62,0.84,51.53
52737,1.07,243.3,1.7,1.27,53.94
52769,1.16,277.5,2.68,1.34,57.39
52993,0.9,296.17,2.52,0.79,54.72
53249,0.99,1272.44,1.09,0.85,52.13
53505,1.79,374.36,1.81,1.76,59.69
53537,1.08,193.31,1.69,0.96,56.37
53585,1.24,576.02,0.82,1.5,55.46
53761,1.42,659.09,0.88,1.62,54.92
53793,0.86,1122.5,1.56,1,51.69
53841,1.16,871.87,0.61,1.23,52.77
54017,1.49,700.31,1.41,1.39,60.58
54033,0.66,454.44,1.63,0.62,49.62
54097,0.97,997.46,0.72,1.19,52.7
54273,1.84,448.23,1.15,1.74,59.83
54289,0.82,1240.27,0.86,0.85,49.5
54353,1.41,663.01,1.6,1.3,57.66
54529,1.59,274.93,1.51,1.41,58.25
54545,1.15,570.21,1.56,1.21,55.97
54609,1.14,283.52,0.12,1.64,54.54
54785,1.24,903.18,0.6,0.84,55.24
54801,1.17,270.12,3.05,1.45,59.7
54865,1.36,201.73,1.93,1.21,57.08
55057,1.23,590.74,1.29,1.5,53.69
55073,1.21,180.3,2.02,1.03,57.7
55121,0.93,1006.81,0.88,1.1,54.07
55297,1.24,1156.71,0.8,0.95,54.34
55313,0.96,1294.8,0.76,1.11,49.83
55569,1.3,1058.96,1.57,1.68,51.73
55633,0.81,1145.98,1.3,0.9,52.75
55841,0.88,1721.88,1.56,0.7,47.96
55889,1.05,716.81,2.03,0.95,55.08
56097,1.01,694.97,1.53,1,55.12
56353,0.94,998.35,0.99,1.12,52.76
56577,1.37,297.98,1.49,1.51,57.31
56609,1.06,1087.01,0.8,1.11,53.38
56833,0.85,787.87,1.53,0.95,53.65
57089,0.85,779.58,1.54,0.93,53.6
57105,1.13,856.65,0.78,1.11,52.17
57361,0.96,728.37,1.06,1.2,52.31
57617,0.93,870.27,1.26,1.17,52.01
58113,1.07,746.22,1.33,1,56.29
58369,0.85,1787.8,1.23,0.61,49.19
58625,0.97,1241.97,0.91,0.95,50.53
58641,0.95,2021.19,1.13,0.5,50.43
58881,0.93,1327.54,1.05,0.75,52.11
59137,1.06,1130.42,1.13,0.82,54.1
59393,1.01,736.47,1.44,0.96,55.13
59649,1.24,1156.71,0.8,0.95,54.34
59665,1.18,299.32,1.05,1.04,56.17
59905,0.81,1013.21,1.62,0.84,52.58
60177,0.91,1201.63,1.11,1.18,50.98
60433,1.17,189.92,2.58,0.99,57.99
60689,1.18,596.91,0.74,1.3,53.86
60945,0.93,1439.8,1.76,0.79,51.17
61457,0.89,425.58,1.59,0.84,52.93
61969,0.97,1241.97,0.91,0.95,50.53
63297,0.6,589.85,2.08,0.6,51.84
63553,0.95,1244.04,1.43,1.43,53.04
63809,0.6,589.85,2.08,0.6,51.84
64049,0.9,1123.97,1.47,0.75,49.75
64065,0.94,1249.82,1.49,1.09,50.32
64561,0.92,1266.08,1.33,0.76,51.97
64817,0.65,547.84,2.58,0.75,52.11
60929,0.88,216.84,2.08,0.97,54.67
